step,mean_ep_reward,suc_pct,acol_pct,pcol_pct,tmo_pct
43909120,15.9804,77.38,4.76,12.76,3.57
44040192,14.0149,71.67,5.67,16.83,4.83
44171264,16.8711,79.23,4.52,12.23,3.02
44302336,13.464,70.97,5.56,15.59,6.81
44433408,12.6423,69.77,7.64,16.45,5.48
44564480,15.3432,72.88,4.34,17.36,4.88
44695552,15.8674,76.51,4.44,13.33,4.76
44826624,15.5786,74.96,4.0,15.3,4.87
44957696,14.5859,72.94,5.71,15.8,5.04
45088768,14.5794,73.21,5.84,15.91,4.38
45219840,16.2844,77.64,5.28,12.5,3.7
45350912,13.6912,72.18,7.25,15.01,5.23
45481984,13.6303,72.42,5.92,14.38,6.43
45613056,15.9864,74.03,4.22,17.21,3.57
45744128,12.8907,70.53,6.6,15.94,5.8
45875200,13.8341,71.5,6.48,16.72,5.12
46006272,14.9716,73.69,5.9,14.84,4.38
46137344,15.1719,72.29,4.38,18.8,4.38
46268416,16.3572,75.63,3.59,16.09,3.75
46399488,14.9498,73.74,5.22,14.98,4.38
46530560,16.2017,75.0,3.96,16.77,3.05
46661632,16.313,77.13,5.21,12.78,4.1
46792704,14.4563,72.77,4.86,15.72,4.38
46923776,15.2906,73.16,4.63,16.93,4.63
47054848,14.1499,71.9,6.37,17.32,4.08
47185920,14.6106,72.56,5.36,15.58,5.36
47316992,15.0025,71.57,4.23,19.46,4.06
47448064,14.5331,72.67,5.85,15.64,4.9
47579136,15.0468,74.45,5.21,13.45,5.88
47710208,14.899,73.21,6.32,16.47,3.49
47841280,15.2489,75.3,5.39,15.83,2.61
47972352,15.2778,74.18,4.51,14.21,6.24
48103424,14.865,73.44,5.78,15.47,4.84
48234496,14.5676,73.1,6.27,15.35,4.79
48365568,15.1576,74.13,4.92,15.08,4.29
48496640,17.2827,77.24,3.3,14.91,3.45
48627712,15.6115,73.89,5.93,16.77,3.12
48758784,14.8531,72.42,5.01,17.55,4.28
48889856,16.1468,75.23,3.82,15.44,4.13
49020928,16.9528,76.89,3.78,15.56,3.47
49152000,14.8335,73.68,6.74,16.37,2.89
49283072,14.1441,72.24,5.05,15.3,6.31
49414144,17.1956,77.71,4.33,12.69,4.8
49545216,14.0961,73.65,6.51,14.29,5.08
49676288,16.2264,75.57,4.43,16.18,3.21
49807360,14.7959,72.7,5.56,16.51,4.92
49938432,13.8352,69.56,5.33,18.72,5.48
50069504,14.5669,72.85,6.44,16.26,3.68
50200576,14.6372,73.89,5.54,13.45,5.54
50331648,15.1827,73.34,4.92,15.96,4.92
50462720,14.072,71.32,5.89,17.36,4.81
50593792,15.3168,73.1,4.06,16.07,5.58
50724864,14.5596,71.76,5.56,18.36,4.01
50855936,15.855,73.68,4.68,17.11,4.09
50987008,15.3449,72.53,4.25,17.75,5.31
51118080,17.0772,77.06,4.74,13.76,3.98
51249152,16.6854,77.01,4.72,13.7,3.94
51380224,14.8174,72.43,5.48,16.78,4.82
51511296,14.6938,73.63,5.15,14.66,6.08
51642368,15.0874,73.44,5.94,15.31,5.0
51773440,15.0259,74.25,6.33,15.21,3.31
51904512,14.3705,72.97,6.91,15.77,3.9
52035584,13.2942,70.03,7.05,18.27,4.49
52166656,16.6517,75.84,3.82,15.9,3.98
52297728,15.4308,74.45,5.3,15.11,4.52
52428800,16.7746,77.04,5.49,13.8,3.24
52559872,15.562,75.69,6.37,14.04,3.47
52690944,16.979,76.38,3.91,15.07,4.2
52822016,17.6024,78.2,5.18,13.41,2.9
52953088,15.8971,74.68,4.84,15.22,4.69
53084160,15.3876,73.65,6.13,15.81,4.27
53215232,16.5685,76.34,4.73,14.83,3.63
53346304,14.8052,71.79,4.48,17.61,5.52
53477376,16.281,76.6,5.14,14.27,3.57
53608448,16.9349,76.37,4.01,14.86,4.01
53739520,16.6553,75.73,3.8,15.64,4.53
53870592,16.8859,76.06,5.1,15.86,2.27
54001664,18.0742,78.16,4.17,14.19,3.06
54132736,17.1818,77.11,4.37,15.16,2.92
54263808,17.1466,76.41,5.04,14.99,2.97
54394880,17.0427,76.17,4.22,15.84,3.47
54525952,16.7437,76.91,5.15,14.51,3.28
54657024,16.6066,73.79,4.54,16.84,4.54
54788096,16.706,73.27,3.39,19.38,3.68
54919168,15.2349,71.21,5.1,18.89,4.05
55050240,15.5789,73.8,4.67,16.27,4.82
55181312,16.009,73.29,4.3,17.51,4.45
55312384,16.7379,74.06,4.35,18.29,3.15
55443456,17.5228,76.45,3.92,15.23,4.4
55574528,16.706,74.29,3.71,17.53,4.16
55705600,15.1578,73.87,5.41,14.71,5.26
55836672,16.1473,74.26,4.5,15.97,4.65
55967744,15.1419,74.69,7.21,14.26,3.68
56098816,17.0291,74.4,4.1,17.96,3.11
56229888,16.6418,74.89,5.05,16.79,3.27
56360960,16.3673,72.78,3.35,18.78,4.37
56492032,16.508,75.46,4.17,14.97,5.09
56623104,16.7975,74.56,3.51,17.69,3.65
56754176,16.1548,75.41,4.92,15.16,4.51
56885248,15.8877,75.74,5.39,14.89,3.55
57016320,15.9511,73.12,4.44,18.82,3.23
57147392,17.4422,76.38,4.03,16.38,2.95
57278464,16.9453,76.68,4.53,14.81,3.7
57409536,17.3087,76.39,4.09,15.96,3.03
57540608,17.1847,77.09,4.58,14.69,3.23
57671680,17.2482,76.13,4.09,16.78,2.86
57802752,17.4585,76.2,4.29,15.86,2.99
57933824,17.5463,77.43,4.41,15.3,2.46
58064896,18.5898,78.32,4.52,14.23,2.79
58195968,16.0196,75.92,5.75,14.23,3.01
58327040,15.3354,72.41,5.7,17.49,3.63
58458112,17.5311,76.75,3.92,15.13,3.64
58589184,18.6741,78.57,3.37,14.02,3.77
58720256,17.3029,75.89,3.58,16.69,3.31
58851328,17.6105,76.58,4.07,15.85,3.37
58982400,16.7139,74.5,4.12,17.13,3.72
59113472,15.0197,72.43,5.46,18.47,2.73
59244544,16.8921,75.53,4.61,17.5,1.71
59375616,15.5611,74.42,7.17,15.16,3.11
